feature_set,model_name,split,n,log_loss,brier_score,accuracy,macro_f1
baseline_rating,multinom,validation,7334,0.8936039509673094,0.5269634528951022,0.5876738478320153,0.4277335247790079
baseline_rating,multinom,test,7384,0.8728685060631897,0.5141886789117168,0.5983206933911159,0.43895568927934125
baseline_rating,glmnet_multinomial_ridge,validation,7334,0.8945324487888928,0.5274123200838658,0.5879465503136079,0.4271890020546689
baseline_rating,glmnet_multinomial_ridge,test,7384,0.8744396772950914,0.5148843594952623,0.5979144095341279,0.43773436002260807
baseline_rating,lightgbm,validation,7334,0.8929520700220525,0.5264399019603215,0.5837196618489229,0.42453616821106793
baseline_rating,lightgbm,test,7384,0.8758504437294773,0.5154156686180198,0.597237269772481,0.4382066494171193
rating_plus_context,multinom,validation,7334,0.8951750713264146,0.5279455151304946,0.5850831742568857,0.42534698414048905
rating_plus_context,multinom,test,7384,0.8753459592470437,0.5157098917798679,0.5989978331527628,0.4392505973876229
rating_plus_context,glmnet_multinomial_ridge,validation,7334,0.8952285776468395,0.5279267369933742,0.5860376329424598,0.42527703944834644
rating_plus_context,glmnet_multinomial_ridge,test,7384,0.8759983064115694,0.5160785090889285,0.5979144095341279,0.4371444663915916
rating_plus_context,lightgbm,validation,7334,0.8929880063264576,0.5264093140229232,0.5854922279792746,0.42674342429021506
rating_plus_context,lightgbm,test,7384,0.8746412536058594,0.515144261534223,0.5975081256771397,0.4384008686032395
rating_plus_form,multinom,validation,7334,0.890798930444251,0.5253121195837144,0.5869920916280338,0.45262749038593947
rating_plus_form,multinom,test,7384,0.8697689023081864,0.5119251646468881,0.5983206933911159,0.4679238334144553
rating_plus_form,glmnet_multinomial_ridge,validation,7334,0.8911622619896822,0.5257211364154495,0.5848104717752931,0.4427290542045691
rating_plus_form,glmnet_multinomial_ridge,test,7384,0.8699867503669021,0.5120442689899435,0.5985915492957746,0.4607770521785737
rating_plus_form,lightgbm,validation,7334,0.8888414893516045,0.524115623583397,0.5863103354240523,0.44896648717605026
rating_plus_form,lightgbm,test,7384,0.8696477798767818,0.5121250958673574,0.6023835319609967,0.4629142765914528
rating_plus_form_plus_goalscorers,multinom,validation,7334,0.890833157863848,0.5254139404986263,0.5879465503136079,0.4559620803371203
rating_plus_form_plus_goalscorers,multinom,test,7384,0.8700477953499882,0.5120582486307614,0.5979144095341279,0.46843540618689056
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,validation,7334,0.8910905801949845,0.5257349251452209,0.5853558767384783,0.44298614370821504
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,test,7384,0.8702586470717659,0.5122029761661964,0.5977789815817984,0.4607975267226382
rating_plus_form_plus_goalscorers,lightgbm,validation,7334,0.8889012872133647,0.5242709469233111,0.5856285792200709,0.4497396586350439
rating_plus_form_plus_goalscorers,lightgbm,test,7384,0.8698176831874401,0.512205059139206,0.602112676056338,0.46248803423096735
