feature_variant,model,split,n,log_loss,accuracy,macro_f1,draw_recall,draw_precision,predicted_draw_rate,actual_draw_rate,mean_pred_D,median_pred_D,mean_max_pred_prob,mean_true_class_prob
baseline_safe,multinom,validation,7366,0.8972567685503788,0.5824056475699159,0.423680219488416,0,0,0,0.2373065435786044,0.22834274332083615,0.2470698520772065,0.5989346555776289,0.47603970261196776
baseline_safe,multinom,test,7561,0.8729507984315922,0.5991270995900013,0.4392864835544485,0,0,0,0.2359476259754001,0.21928021795158098,0.23715932806554008,0.6159520533672721,0.49101713279696774
baseline_safe,glmnet_multinomial_ridge,validation,7366,0.8979818032019282,0.5826771653543307,0.42285815562192675,0,0,0,0.2373065435786044,0.2279446822902328,0.24559089177702606,0.5887558142357426,0.47017101600497296
baseline_safe,glmnet_multinomial_ridge,test,7561,0.8744839060443809,0.5964819468324296,0.4366188020655812,0,0,0,0.2359476259754001,0.2197525720829897,0.2364190371818328,0.6046489788452849,0.48429950485155043
baseline_safe,lightgbm,validation,7366,0.8953657595891827,0.5857996198751019,0.4292823047422921,0.004004576659038902,0.6363636363636364,0.0014933478142818354,0.2373065435786044,0.22757845215528708,0.25476855650643243,0.5974173740508347,0.4787580456594386
baseline_safe,lightgbm,test,7561,0.8736783122712658,0.5930432482475863,0.43427321747229913,0,0,9.258034651501124e-4,0.2359476259754001,0.21592002202271984,0.24225303595996805,0.6171567429637443,0.49431951748104436
safe_plus_form_compact,multinom,validation,7366,0.894851509521105,0.5837632364919902,0.4246052826601517,0,0,0.0012218300298669563,0.2373065435786044,0.2300030105869764,0.24823061982764966,0.5973644076754859,0.4764664294406012
safe_plus_form_compact,multinom,test,7561,0.8707373305885608,0.5991270995900013,0.44039117840798186,0.0016816143497757848,0.42857142857142855,9.258034651501124e-4,0.2359476259754001,0.22106664343595417,0.23791132952698213,0.6143234774587895,0.49133604873194253
safe_plus_form_compact,glmnet_multinomial_ridge,validation,7366,0.8960190443742287,0.581862612001086,0.4219504713703574,0,0,4.0727667662231876e-4,0.2373065435786044,0.22988780121015626,0.24624632828337734,0.5870124958486982,0.47039650549859097
safe_plus_form_compact,glmnet_multinomial_ridge,test,7561,0.8729804319183921,0.5962174315566724,0.43636955279834816,5.605381165919282e-4,0.5,2.6451527575717496e-4,0.2359476259754001,0.22175166916002925,0.23694986588728764,0.6030394543917428,0.4843913065614146
safe_plus_form_compact,lightgbm,validation,7366,0.8930908332850942,0.5859353787673093,0.4332196745042845,0.010297482837528604,0.43902439024390244,0.005566114580505023,0.2373065435786044,0.23048655514312338,0.2559912994705656,0.5942232251321861,0.4781930776274766
safe_plus_form_compact,lightgbm,test,7561,0.8728460776947174,0.5950271128157651,0.43741126579979545,0.0011210762331838565,0.09523809523809523,0.002777410395450337,0.2359476259754001,0.2191454925939283,0.24397018152761152,0.6140005001951466,0.49313633240992494
safe_plus_form_draw,multinom,validation,7366,0.8966653608030732,0.5821341297855009,0.4235475606544144,0,0,9.503122454520771e-4,0.2373065435786044,0.22892579316269415,0.24696106540764112,0.5984598606402212,0.4762141080781812
safe_plus_form_draw,multinom,test,7561,0.8730567412053246,0.5983335537627298,0.43952250639347856,0.0016816143497757848,0.75,5.290305515143499e-4,0.2359476259754001,0.21996889894431476,0.23637963405761445,0.615363361218711,0.4909752072915707
safe_plus_form_draw,glmnet_multinomial_ridge,validation,7366,0.8973594242555344,0.5826771653543307,0.4229221718831029,0,0,5.430355688297583e-4,0.2373065435786044,0.2286291114886552,0.24530739697564402,0.5882713273985348,0.4703733163297384
safe_plus_form_draw,glmnet_multinomial_ridge,test,7561,0.8745850581465537,0.5960851739187938,0.43685882717486596,0.0011210762331838565,0.6666666666666666,3.9677291363576247e-4,0.2359476259754001,0.2205218782336924,0.23581303018817398,0.604036144510619,0.48426571704919197
safe_plus_form_draw,lightgbm,validation,7366,0.8946528577628257,0.5863426554439316,0.43153765706393715,0.006864988558352402,0.5454545454545454,0.002986695628563671,0.2373065435786044,0.22833037536902304,0.25409597274970475,0.5970003332886195,0.4786954595206207
safe_plus_form_draw,lightgbm,test,7561,0.8740577519248255,0.5944980822642507,0.4361651250340531,0.0016816143497757848,0.3,0.0013225763787858748,0.2359476259754001,0.21728644555069887,0.24285944251002564,0.6158355904742782,0.4936136558181084
