model_family,config_id,feature_variant,split,class,tp,fp,fn,tn,precision,recall,f1
glmnet,glmnet_alpha_1,safe_plus_form_compact,validation,H,2873,1939,399,1609,0.5970490440565254,0.8780562347188264,0.710786739238001
glmnet,glmnet_alpha_1,safe_plus_form_compact,validation,D,0,5,1622,5193,0,0,0
glmnet,glmnet_alpha_1,safe_plus_form_compact,validation,A,1103,900,823,3994,0.5506739890164752,0.5726895119418484,0.5614660218885212
multinom,multinom_decay_0e+00,safe_plus_form_compact,validation,H,2876,1927,396,1621,0.5987924214032896,0.8789731051344744,0.7123219814241486
multinom,multinom_decay_0e+00,safe_plus_form_compact,validation,D,1,9,1621,5189,0.1,6.165228113440197e-4,0.0012254901960784314
multinom,multinom_decay_0e+00,safe_plus_form_compact,validation,A,1113,894,813,4000,0.554559043348281,0.5778816199376947,0.5659801678108314
multinom,multinom_decay_1e-05,safe_plus_form_compact,validation,H,2876,1927,396,1621,0.5987924214032896,0.8789731051344744,0.7123219814241486
multinom,multinom_decay_1e-05,safe_plus_form_compact,validation,D,1,9,1621,5189,0.1,6.165228113440197e-4,0.0012254901960784314
multinom,multinom_decay_1e-05,safe_plus_form_compact,validation,A,1113,894,813,4000,0.554559043348281,0.5778816199376947,0.5659801678108314
multinom,multinom_decay_1e-04,safe_plus_form_compact,validation,H,2876,1927,396,1621,0.5987924214032896,0.8789731051344744,0.7123219814241486
multinom,multinom_decay_1e-04,safe_plus_form_compact,validation,D,1,9,1621,5189,0.1,6.165228113440197e-4,0.0012254901960784314
multinom,multinom_decay_1e-04,safe_plus_form_compact,validation,A,1113,894,813,4000,0.554559043348281,0.5778816199376947,0.5659801678108314
multinom,multinom_decay_1e-03,safe_plus_form_compact,validation,H,2876,1927,396,1621,0.5987924214032896,0.8789731051344744,0.7123219814241486
multinom,multinom_decay_1e-03,safe_plus_form_compact,validation,D,1,9,1621,5189,0.1,6.165228113440197e-4,0.0012254901960784314
multinom,multinom_decay_1e-03,safe_plus_form_compact,validation,A,1113,894,813,4000,0.554559043348281,0.5778816199376947,0.5659801678108314
multinom,multinom_decay_1e-02,safe_plus_form_compact,validation,H,2876,1927,396,1621,0.5987924214032896,0.8789731051344744,0.7123219814241486
multinom,multinom_decay_1e-02,safe_plus_form_compact,validation,D,1,9,1621,5189,0.1,6.165228113440197e-4,0.0012254901960784314
multinom,multinom_decay_1e-02,safe_plus_form_compact,validation,A,1113,894,813,4000,0.554559043348281,0.5778816199376947,0.5659801678108314
baseline,frequency_baseline,safe_plus_form_compact,validation,H,3272,3548,0,0,0.4797653958944281,1,0.6484344034879111
baseline,frequency_baseline,safe_plus_form_compact,validation,D,0,0,1622,5198,0,0,0
baseline,frequency_baseline,safe_plus_form_compact,validation,A,0,0,1926,4894,0,0,0
baseline,majority_baseline,safe_plus_form_compact,validation,H,3272,3548,0,0,0.4797653958944281,1,0.6484344034879111
baseline,majority_baseline,safe_plus_form_compact,validation,D,0,0,1622,5198,0,0,0
baseline,majority_baseline,safe_plus_form_compact,validation,A,0,0,1926,4894,0,0,0
baseline,rating_diff_multinom,safe_plus_form_compact,validation,H,2901,1963,371,1585,0.596422697368421,0.8866136919315404,0.7131268436578171
baseline,rating_diff_multinom,safe_plus_form_compact,validation,D,0,0,1622,5198,0,0,0
baseline,rating_diff_multinom,safe_plus_form_compact,validation,A,1095,861,831,4033,0.5598159509202454,0.5685358255451713,0.5641421947449768
lightgbm,slower_small,safe_plus_form_compact,test,H,3051,2031,381,1826,0.6003541912632822,0.888986013986014,0.7167019027484144
lightgbm,slower_small,safe_plus_form_compact,test,D,2,11,1722,5554,0.15384615384615385,0.001160092807424594,0.002302820955670697
lightgbm,slower_small,safe_plus_form_compact,test,A,1286,908,847,4248,0.5861440291704649,0.602906704172527,0.5944072105384792
lightgbm,current_final,safe_plus_form_compact,test,H,3050,2028,382,1829,0.6006301693580149,0.8886946386946387,0.7168037602820212
lightgbm,current_final,safe_plus_form_compact,test,D,4,14,1720,5551,0.2222222222222222,0.002320185614849188,0.004592422502870263
lightgbm,current_final,safe_plus_form_compact,test,A,1285,908,848,4248,0.5859553123575011,0.6024378809188936,0.5940822931114194
