source,model,feature_variant,split,actual_draw_rate,mean_pred_D,predicted_draw_rate,draw_recall,draw_precision,draw_top_rate.x,draw_second_rate.x,median_draw_margin_to_top.x,draw_top_rate.y,draw_second_rate.y,median_draw_margin_to_top.y,draw_top_rate,draw_second_rate,median_draw_margin_to_top
model_25_draw_diagnostics,glmnet_multinomial_ridge,NA,test,0.2359164242263951,0.2166955610279994,0,0,0,NA,NA,NA,0,0.7505950806664904,0.35493991215817444,NA,NA,NA
model_25_draw_diagnostics,lightgbm,NA,test,0.2359164242263951,0.21235839770563197,1.322401481089659e-4,0,0,NA,NA,NA,1.322401481089659e-4,0.8295424490875429,0.35487760278887454,NA,NA,NA
model_25_draw_diagnostics,multinom,NA,test,0.2359164242263951,0.21646544619931987,0,0,0,NA,NA,NA,0,0.8004496165035705,0.3682152071743479,NA,NA,NA
model_28_final_selected,lightgbm,safe_plus_form_compact,test,0.2359476259754001,0.2191454925939283,0.00277741039545033,0.00112107623318385,0.09523809523809525,NA,NA,NA,NA,NA,NA,NA,NA,NA
