config_id,decay,validation_log_loss,validation_brier_score,validation_accuracy,validation_macro_f1
multinom_decay_0e+00,0,0.8933507692567533,0.5265775414803828,0.5850439882697948,0.4265092131436861
multinom_decay_1e-05,1e-5,0.8933507685899849,0.5265775409954314,0.5850439882697948,0.4265092131436861
multinom_decay_1e-04,1e-4,0.8933507624568805,0.5265775365363814,0.5850439882697948,0.4265092131436861
multinom_decay_1e-03,0.001,0.8933507011568096,0.526577491978203,0.5850439882697948,0.4265092131436861
multinom_decay_1e-02,0.01,0.8933500902267603,0.5265770477958465,0.5850439882697948,0.4265092131436861
