source,feature_variant,model,split,n,log_loss,accuracy,macro_f1,draw_recall,draw_precision,predicted_draw_rate,actual_draw_rate,mean_pred_D,median_pred_D,mean_max_pred_prob,mean_true_class_prob
model_26,draw_smooth,multinom,test,7562,0.8721059731704836,0.5977254694525258,0.43776572037179656,0,0,0,0.23591642422639514,0.21554709405084352,0.23730982599898803,0.6168047293176032,0.4934165472368754
model_26,draw_smooth_neutral,multinom,test,7562,0.8721487559456612,0.5971965088600899,0.43717083737669166,0,0,0,0.23591642422639514,0.21543110583182973,0.23733531273433522,0.6169861671026932,0.4936534685660331
model_26,draw_abs_only,multinom,test,7562,0.8725842267307157,0.5981221898968527,0.4381631407726036,0,0,0,0.23591642422639514,0.21575894464633766,0.23564020920875456,0.6173978456724677,0.49314515024571254
model_24,model_24_baseline_safe,multinom,test,7562,0.8731751803848219,0.5982544300449617,0.4386980261087482,NA,NA,NA,NA,NA,NA,NA,NA
model_26,baseline_safe,multinom,test,7562,0.8731751803848219,0.5982544300449617,0.4386980261087482,0,0,0,0.23591642422639514,0.21646544619931987,0.23333294640906277,0.6182389753442364,0.4918879151256358
model_26,draw_smooth,glmnet_multinomial_ridge,test,7562,0.8737452375024392,0.596799788415763,0.43637431478025057,0,0,0,0.23591642422639514,0.21552942286760116,0.23620546354544936,0.6068520749599434,0.4872047021420303
model_26,draw_smooth_neutral,glmnet_multinomial_ridge,test,7562,0.8737956153037354,0.5961385876752182,0.4356864828994697,0,0,0,0.23591642422639514,0.2154292832385069,0.23630287372868508,0.6072300105556865,0.48742021198472907
model_26,draw_smooth,lightgbm,test,7562,0.8739344404762989,0.5949484263422375,0.43554062116101494,0,0,0,0.23591642422639514,0.21244434149813685,0.23895148143667838,0.6189323845552114,0.49485607608982174
model_26,draw_abs_only,glmnet_multinomial_ridge,test,7562,0.874058885851389,0.596799788415763,0.43652646944095846,0,0,0,0.23591642422639514,0.21574784545762973,0.23504206835760275,0.6071116335094457,0.4868792337370237
model_24,model_24_baseline_safe,lightgbm,test,7562,0.8741575819111138,0.5949484263422375,0.4356705148207604,NA,NA,NA,NA,NA,NA,NA,NA
model_26,baseline_safe,lightgbm,test,7562,0.8741575819111138,0.5949484263422375,0.4356705148207604,0,0,1.322401481089659e-4,0.23591642422639514,0.21235839770563195,0.2397028587646433,0.6190007270843115,0.4947496027721997
model_26,draw_abs_only,lightgbm,test,7562,0.8743237826904741,0.5942872256016927,0.43523975142680255,0,0,0,0.23591642422639514,0.21262946541247754,0.23911917394086107,0.6187301733981007,0.49467502514661904
model_26,draw_smooth_neutral,lightgbm,test,7562,0.874678384901403,0.5937582650092568,0.4346363387048251,0,0,1.322401481089659e-4,0.23591642422639514,0.21236664937472838,0.24065622654900887,0.6192182151291549,0.4950606027389954
model_24,model_24_baseline_safe,glmnet_multinomial_ridge,test,7562,0.8747550527428021,0.5970642687119809,0.4371737357591305,NA,NA,NA,NA,NA,NA,NA,NA
model_26,baseline_safe,glmnet_multinomial_ridge,test,7562,0.8747550527428021,0.5970642687119809,0.4371737357591305,0,0,0,0.23591642422639514,0.2166955610279994,0.23239162952799866,0.6068918449740288,0.48509543055039545
model_26,draw_abs_only,lightgbm,validation,7615,0.8934086472177162,0.5858174655285621,0.42779021849787446,0.0011061946902654867,0.6666666666666666,3.939592908732764e-4,0.23742613263296125,0.22330205590988145,0.24954693100188732,0.5999305449550417,0.48026707459661416
model_24,model_24_baseline_safe,lightgbm,validation,7615,0.8934398018313399,0.5871306631648063,0.4285777491998591,NA,NA,NA,NA,NA,NA,NA,NA
model_26,baseline_safe,lightgbm,validation,7615,0.8934398018313399,0.5871306631648063,0.4285777491998591,5.530973451327434e-4,0.5,2.62639527248851e-4,0.23742613263296125,0.2234616069229142,0.25048847524213697,0.5999428812709409,0.480128014340134
model_26,draw_smooth,lightgbm,validation,7615,0.8935118951215532,0.5860801050558109,0.42769449948967564,5.530973451327434e-4,1,1.313197636244255e-4,0.23742613263296125,0.22318212334584486,0.24952594652632984,0.6001328793993064,0.480289373750227
model_26,draw_smooth_neutral,lightgbm,validation,7615,0.8936085511476911,0.5838476690741957,0.426176320375852,0.0011061946902654867,0.5,5.25279054497702e-4,0.23742613263296125,0.2232618997292275,0.2506677987354277,0.6001147523582796,0.4805317978278086
model_26,draw_smooth_neutral,multinom,validation,7615,0.8936946011141992,0.584241628365069,0.4247277842008535,0,0,0,0.23742613263296125,0.225164356327402,0.2485718068656828,0.5995530036164339,0.47904516669544117
model_26,draw_smooth,multinom,validation,7615,0.8937074949279274,0.5838476690741957,0.42471545997905147,0,0,1.313197636244255e-4,0.23742613263296125,0.22514905922457906,0.2482903572475814,0.5997735591279727,0.4789451775881291
model_26,draw_abs_only,multinom,validation,7615,0.8943960212574148,0.5846355876559423,0.4252268212013743,0,0,0,0.23742613263296125,0.22517904072771544,0.24674867270180173,0.6005365729006354,0.4787345748065903
model_26,draw_smooth,glmnet_multinomial_ridge,validation,7615,0.8947475000213387,0.5837163493105713,0.4232499244961318,0,0,0,0.23742613263296125,0.22454199790703866,0.24653922241716317,0.5908373364263079,0.47347121502589773
model_26,draw_smooth_neutral,glmnet_multinomial_ridge,validation,7615,0.8947677562606847,0.5839789888378201,0.42320317146451836,0,0,0,0.23742613263296125,0.22456444815223758,0.24652829954759745,0.5908673666470042,0.47355135202266213
model_24,model_24_baseline_safe,multinom,validation,7615,0.894920422923475,0.5826657912015758,0.4241423187094829,NA,NA,NA,NA,NA,NA,NA,NA
model_26,baseline_safe,multinom,validation,7615,0.894920422923475,0.5826657912015758,0.4241423187094829,0,0,0,0.23742613263296125,0.22505726572044754,0.243560909474569,0.6019750136890092,0.4779674492772811
model_26,draw_abs_only,glmnet_multinomial_ridge,validation,7615,0.8952074845454021,0.584241628365069,0.42373178783494847,0,0,0,0.23742613263296125,0.22456592366391578,0.24557480287553074,0.5912361723701997,0.47321438743878697
model_24,model_24_baseline_safe,glmnet_multinomial_ridge,validation,7615,0.8958549513263964,0.5847669074195666,0.4248950172168716,NA,NA,NA,NA,NA,NA,NA,NA
model_26,baseline_safe,glmnet_multinomial_ridge,validation,7615,0.8958549513263964,0.5847669074195666,0.4248950172168716,0,0,0,0.23742613263296125,0.2244519236058055,0.24157525536490232,0.5916833775452973,0.47196489506446443
