model,split,source_match_id,date,home_team_clean,away_team_clean,tournament,country,city,match_result,pred_class,pred_H,pred_D,pred_A,max_pred_prob,pred_D_rank,draw_margin_to_top,rating_diff,abs_rating_diff,neutral,is_world_cup,is_world_cup_qualifier,is_continental_tournament,is_continental_qualifier,is_friendly
glmnet_multinomial_ridge,test,2025_11_13_canada_ecuador_friendly,2025-11-13,canada,ecuador,Friendly,Canada,Toronto,D,A,0.3346482487834591,0.3154711122715449,0.349880638944996,0.349880638944996,3,0.034409526673451096,-141,141,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2018_09_11_south_korea_chile_friendly,2018-09-11,south_korea,chile,Friendly,South Korea,Suwon,D,H,0.37901273333916496,0.343983732649297,0.2770035340115381,0.37901273333916496,2,0.03502900068986797,-103,103,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
multinom,test,2019_10_13_wales_croatia_uefa_euro_qualification,2019-10-13,wales,croatia,UEFA Euro qualification,Wales,Cardiff,D,H,0.3529643733377688,0.31643442671385436,0.3306011999483769,0.3529643733377688,3,0.036529946623914455,-154,154,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
lightgbm,test,2024_10_10_uzbekistan_iran_fifa_world_cup_qualification,2024-10-10,uzbekistan,iran,FIFA World Cup qualification,Uzbekistan,Tashkent,D,A,0.33697392354790356,0.31305792900136226,0.3499681474507341,0.3499681474507341,3,0.03691021844937187,-129,129,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
multinom,test,2021_09_05_switzerland_italy_fifa_world_cup_qualification,2021-09-05,switzerland,italy,FIFA World Cup qualification,Switzerland,Basel,D,A,0.3412973575910511,0.31050982116370457,0.34819282124524426,0.34819282124524426,3,0.037683000081539686,-157,157,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
lightgbm,test,2018_12_25_vietnam_north_korea_friendly,2018-12-25,vietnam,north_korea,Friendly,Vietnam,Hanoi,D,H,0.35275168098082554,0.3129518083687604,0.334296510650414,0.35275168098082554,3,0.039799872612065135,-119,119,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2020_10_11_kazakhstan_albania_uefa_nations_league,2020-10-11,kazakhstan,albania,UEFA Nations League,Kazakhstan,Almaty,D,H,0.3471346033708267,0.3073173858314505,0.34554801079772274,0.3471346033708267,3,0.03981721753937617,-159,159,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
lightgbm,test,2025_10_09_czech_republic_croatia_fifa_world_cup_qualification,2025-10-09,czech_republic,croatia,FIFA World Cup qualification,Czech Republic,Prague,D,H,0.3476022846021534,0.3070880222716926,0.345309693126154,0.3476022846021534,3,0.04051426233046085,-170,170,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
lightgbm,test,2022_11_17_north_macedonia_finland_friendly,2022-11-17,north_macedonia,finland,Friendly,North Macedonia,Skopje,D,H,0.3527006125822372,0.3116708250112823,0.33562856240648054,0.3527006125822372,3,0.041029787570954934,-129,129,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2018_10_16_united_states_peru_friendly,2018-10-16,united_states,peru,Friendly,United States,East Hartford,D,A,0.3372694392437721,0.31081619569260094,0.351914365063627,0.351914365063627,3,0.04109816937102606,-143,143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2023_11_16_georgia_scotland_uefa_euro_qualification,2023-11-16,georgia,scotland,UEFA Euro qualification,Georgia,Tbilisi,D,A,0.33795223894058984,0.31041174071630967,0.3516360203431005,0.3516360203431005,3,0.041224279626790816,-177,177,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
lightgbm,test,2022_11_20_slovakia_chile_friendly,2022-11-20,slovakia,chile,Friendly,Slovakia,Bratislava,D,A,0.3433462686542799,0.30742039808857047,0.34923333325714967,0.34923333325714967,3,0.0418129351685792,-119,119,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2018_09_10_saudi_arabia_bolivia_friendly,2018-09-10,saudi_arabia,bolivia,Friendly,Saudi Arabia,Riyadh,D,H,0.3852653755091019,0.343152640716462,0.2715819837744361,0.3852653755091019,2,0.04211273479263988,-75,75,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2018_06_09_sweden_peru_friendly,2018-06-09,sweden,peru,Friendly,Sweden,Gothenburg,D,A,0.3365769993727141,0.3106193444066551,0.3528036562206307,0.3528036562206307,3,0.042184311813975583,-124,124,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
multinom,test,2022_11_17_north_macedonia_finland_friendly,2022-11-17,north_macedonia,finland,Friendly,North Macedonia,Skopje,D,H,0.3513567678729224,0.30865609359732676,0.3399871385297508,0.3513567678729224,3,0.04270067427559565,-129,129,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
multinom,test,2019_10_15_peru_uruguay_friendly,2019-10-15,peru,uruguay,Friendly,Peru,Lima,D,H,0.3708811125181041,0.327894398467742,0.30122448901415383,0.3708811125181041,2,0.042986714050362085,-89,89,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
multinom,test,2022_11_20_slovakia_chile_friendly,2022-11-20,slovakia,chile,Friendly,Slovakia,Bratislava,D,H,0.3561097819407531,0.31302654417412595,0.330863673885121,0.3561097819407531,3,0.04308323776662715,-119,119,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2018_03_27_montenegro_turkey_friendly,2018-03-27,montenegro,turkey,Friendly,Montenegro,Podgorica,D,H,0.36272093267082545,0.31961662914420486,0.3176624381849697,0.36272093267082545,2,0.04310430352662059,-110,110,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2024_10_11_iceland_wales_uefa_nations_league,2024-10-11,iceland,wales,UEFA Nations League,Iceland,Reykjavík,D,A,0.3406504939758225,0.3077843279073802,0.35156517811679727,0.35156517811679727,3,0.04378085020941708,-127,127,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
lightgbm,test,2019_10_10_haiti_costa_rica_concacaf_nations_league,2019-10-10,haiti,costa_rica,CONCACAF Nations League,Haiti,Port-au-Prince,D,A,0.3467123339185838,0.30463284079242836,0.34865482528898784,0.34865482528898784,3,0.044021984496559474,-129,129,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
lightgbm,test,2019_10_15_mauritania_libya_friendly,2019-10-15,mauritania,libya,Friendly,Mauritania,Nouakchott,D,A,0.3360680138529508,0.3097339595064395,0.3541980266406097,0.3541980266406097,3,0.04446406713417017,-127,127,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
glmnet_multinomial_ridge,test,2022_06_05_united_states_uruguay_friendly,2022-06-05,united_states,uruguay,Friendly,United States,Kansas City,D,H,0.36435902812181903,0.31926731673673087,0.31637365514145005,0.36435902812181903,2,0.04509171138508816,-107,107,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2024_11_19_bolivia_paraguay_fifa_world_cup_qualification,2024-11-19,bolivia,paraguay,FIFA World Cup qualification,Bolivia,El Alto,D,A,0.3419202029706022,0.30627048100161347,0.35180931602778426,0.35180931602778426,3,0.04553883502617079,-119,119,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
glmnet_multinomial_ridge,test,2019_11_18_republic_of_ireland_denmark_uefa_euro_qualification,2019-11-18,republic_of_ireland,denmark,UEFA Euro qualification,Republic of Ireland,Dublin,D,H,0.3511673863378294,0.3052866313364761,0.3435459823256945,0.3511673863378294,3,0.0458807550013533,-170,170,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
multinom,test,2021_09_01_finland_wales_friendly,2021-09-01,finland,wales,Friendly,Finland,Helsinki,D,H,0.3548649644787606,0.30819925564924244,0.3369357798719971,0.3548649644787606,3,0.04666570882951815,-118,118,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2023_09_07_wales_south_korea_friendly,2023-09-07,wales,south_korea,Friendly,Wales,Cardiff,D,H,0.3614679314908024,0.3139943448654927,0.324537723643705,0.3614679314908024,3,0.047473586625309705,-100,100,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
multinom,test,2025_06_06_republic_of_ireland_senegal_friendly,2025-06-06,republic_of_ireland,senegal,Friendly,Republic of Ireland,Dublin,D,H,0.3519424215885501,0.30401372536557364,0.3440438530458763,0.3519424215885501,3,0.047928696222976463,-125,125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
glmnet_multinomial_ridge,test,2026_03_28_mexico_portugal_friendly,2026-03-28,mexico,portugal,Friendly,Mexico,Mexico City,D,H,0.36589995819906207,0.3179358023220781,0.31616423947885985,0.36589995819906207,2,0.047964155876983994,-119,119,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
glmnet_multinomial_ridge,test,2023_01_28_united_states_colombia_friendly,2023-01-28,united_states,colombia,Friendly,United States,Carson,D,H,0.3670542024251052,0.3187506506433009,0.31419514693159406,0.3670542024251052,2,0.048303551781804344,-114,114,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2018_11_17_south_africa_nigeria_african_cup_of_nations_qualification,2018-11-17,south_africa,nigeria,African Cup of Nations qualification,South Africa,Johannesburg,D,A,0.3295636333047849,0.31096806119124376,0.3594683055039714,0.3594683055039714,3,0.04850024431272765,-186,186,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
glmnet_multinomial_ridge,test,2018_05_31_slovakia_netherlands_friendly,2018-05-31,slovakia,netherlands,Friendly,Slovakia,Trnava,D,A,0.33503594513796675,0.3078864713207436,0.35707758354128966,0.35707758354128966,3,0.04919111222054606,-145,145,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lightgbm,test,2025_06_10_peru_ecuador_fifa_world_cup_qualification,2025-06-10,peru,ecuador,FIFA World Cup qualification,Peru,Lima,D,A,0.3471300319662604,0.3017289557915594,0.3511410122421802,0.3511410122421802,3,0.0494120564506208,-171,171,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
lightgbm,test,2019_11_14_martinique_honduras_concacaf_nations_league,2019-11-14,martinique,honduras,CONCACAF Nations League,Martinique,Fort-de-France,D,A,0.3280738890082308,0.31125181991152745,0.36067429108024174,0.36067429108024174,3,0.04942247116871429,-186,186,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
multinom,test,2018_09_11_south_korea_chile_friendly,2018-09-11,south_korea,chile,Friendly,South Korea,Suwon,D,H,0.3730176068641782,0.3234660711755867,0.30351632196023526,0.3730176068641782,2,0.0495515356885915,-103,103,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
