model,split,n,log_loss,accuracy,macro_f1
multinom,test,7562,0.8731751803848219,0.5982544300449617,0.4386980261087482
lightgbm,test,7562,0.8741575819111138,0.5949484263422375,0.4356705148207604
glmnet_multinomial_ridge,test,7562,0.8747550527428021,0.5970642687119809,0.4371737357591305
lightgbm,validation,7615,0.8934398018313399,0.5871306631648063,0.4285777491998591
multinom,validation,7615,0.894920422923475,0.5826657912015758,0.4241423187094829
glmnet_multinomial_ridge,validation,7615,0.8958549513263964,0.5847669074195666,0.4248950172168716
