stage,feature_variant,model,selection_split,n,log_loss,accuracy,macro_f1,draw_recall,draw_precision,predicted_draw_rate,actual_draw_rate,mean_pred_D,median_pred_D
baseline,NA,draw_aware_quadratic_multinom,validation,7349,0.8925895119601893,0.5872907878622942,0.42718980129689704,NA,NA,NA,NA,NA,NA
baseline,NA,draw_aware_quadratic_multinom,test,7384,0.8718854549396733,0.5973726977248104,0.4381089456466341,NA,NA,NA,NA,NA,NA
model_24_safe_features,NA,lightgbm,validation,7048,0.8939337519750316,0.585272417707151,0.42717395481561865,NA,NA,NA,NA,NA,NA
model_24_safe_features,NA,lightgbm,test,7290,0.876087921758668,0.5941015089163237,0.43603480401593697,NA,NA,NA,NA,NA,NA
model_26_draw_aware_elo,draw_abs_only,lightgbm,validation,7048,0.8935013818212993,0.5865493757094211,0.42847741922146126,0.00179856115107913,0.6,7.094211123723042e-4,0.2366628830874007,0.22433826499485607,0.2503195199492106
model_26_draw_aware_elo,draw_abs_only,lightgbm,test,7290,0.8765544259034995,0.592318244170096,0.434348119697668,0,0,2.7434842249657066e-4,0.2364883401920439,0.21312961249994825,0.2393141387033273
model_28_lagged_form,safe_plus_form_compact,lightgbm,validation,6820,0.8915169777591728,0.5856304985337243,0.43001525887748665,0.00493218249075215,0.34782608695652173,0.0033724340175953,0.2378299120234604,0.230767556867657,0.25599934240790284
model_28_lagged_form,safe_plus_form_compact,lightgbm,test,7289,0.8744001616802515,0.5948689806557826,0.43813718928928486,0.00232018561484918,0.2352941176470588,0.00233228152009877,0.236520784744135,0.2190856719854452,0.24303454633166197
