model,split,n,log_loss,brier,accuracy,macro_f1
frequency_baseline,test,7661,1.0539610263036114,0.6358913302998566,0.4740895444458948,0.21441010655568343
frequency_baseline,validation,7931,1.051108048949969,0.6335937188940968,0.4801412180052957,0.21625919300337904
majority_baseline,test,7661,2.4314850427259174,1.020866283774964,0.4740895444458948,0.21441010655568343
majority_baseline,validation,7931,2.403738316264534,1.0091260370697264,0.4801412180052957,0.21625919300337904
rating_diff_multinom,test,7661,0.8765734160707854,0.5167953489377021,0.5944393682286908,0.433969593860047
rating_diff_multinom,validation,7931,0.8996383141760292,0.5310506787753148,0.5861808094817803,0.42565469244394105
rating_diff_neutral_multinom,test,7661,0.8706365713352056,0.5127036513420169,0.5995300874559457,0.4394576291863504
rating_diff_neutral_multinom,validation,7931,0.8932956938216583,0.5268142770299364,0.5864329844912369,0.42696228443867484
