model,split,n,actual_draw_rate,mean_pred_D,median_pred_D,draw_top_rate,draw_second_rate,draw_bottom_rate,draw_within_2pts_of_top_rate,draw_within_5pts_of_top_rate,draw_within_10pts_of_top_rate,mean_draw_margin_to_top,median_draw_margin_to_top,q25_draw_margin_to_top,q75_draw_margin_to_top,mean_draw_margin_to_top_when_actual_draw,median_draw_margin_to_top_when_actual_draw,actual_draws_where_draw_within_5pts_of_top_rate,actual_draws_where_draw_within_10pts_of_top_rate
glmnet_multinomial_ridge,test,7562,0.23591642422639514,0.2166955610279994,0.23239162952799866,0,0.7505950806664904,0.24940491933350967,0,0.003570483998942079,0.04654853213435599,0.3901962839460295,0.35493991215817444,0.20766499683655373,0.5455707584414256,0.32274798180626896,0.2868745572002267,0.005044843049327354,0.05997757847533632
lightgbm,test,7562,0.23591642422639514,0.21235839770563195,0.2397028587646433,1.322401481089659e-4,0.8295424490875429,0.17032531076434806,0.0013224014810896587,0.013356254959005553,0.07762496693996297,0.4066423293786795,0.35487760278887454,0.18895603119250232,0.595910697631703,0.32714800532707755,0.2768586981463087,0.01569506726457399,0.09585201793721973
multinom,test,7562,0.23591642422639514,0.21646544619931987,0.23333294640906277,0,0.8004496165035705,0.1995503834964295,2.644802962179318e-4,0.007273208145993124,0.060565987833906376,0.40177352914491654,0.3682152071743479,0.20640741720207373,0.5691303956059764,0.33053453278253253,0.29388929165865696,0.010089686098654708,0.07791479820627803
glmnet_multinomial_ridge,validation,7615,0.23742613263296125,0.2244519236058055,0.24157525536490232,0,0.7548260013131977,0.24517399868680237,1.313197636244255e-4,0.004727511490479317,0.05778069599474721,0.36723145393949186,0.3259059063824442,0.18833614463827247,0.5179793757237321,0.30401765447327417,0.27002809828485513,0.006084070796460177,0.07743362831858407
lightgbm,validation,7615,0.23742613263296125,0.2234616069229142,0.25048847524213697,2.62639527248851e-4,0.8313854235062377,0.16835193696651346,0.0017071569271175312,0.02586999343401182,0.10072225869993434,0.37648127434802664,0.31698743765806103,0.17105300696860304,0.5530417989472411,0.30097283837852806,0.24704066886605222,0.032079646017699116,0.13716814159292035
multinom,validation,7615,0.23742613263296125,0.22505726572044754,0.243560909474569,0,0.7998686802363756,0.20013131976362442,3.939592908732764e-4,0.009192383453709783,0.07485226526592252,0.3769177479685617,0.33777926016562587,0.18635268622347606,0.5393410728134997,0.31035824089726954,0.27278415328351113,0.010508849557522125,0.10287610619469026
