step,n_rows
raw_modeling_table,49257
valid_match_result,49257
rating_freshness_filter,45633
minimum_prior_matches_filter,44387
complete_cases_baseline_safe,44387
complete_cases_safe_plus_form_compact,44387
complete_cases_safe_plus_form_draw,44387
complete_all_variant_features,44387
