model,split,n,log_loss,brier,accuracy,macro_f1
draw_aware_abs_multinom,test,7384,0.8722307901773527,0.5135887612590114,0.5973726977248104,0.4381089456466341
draw_aware_abs_multinom,validation,7349,0.8932972587245352,0.5267860323558271,0.5874268607973874,0.4273124475161799
draw_aware_quadratic_multinom,test,7384,0.8718854549396733,0.51348433491021,0.5973726977248104,0.4381089456466341
draw_aware_quadratic_multinom,validation,7349,0.8925895119601893,0.5265265294965958,0.5872907878622942,0.42718980129689704
frequency_baseline,test,7384,1.0552077475540864,0.6367926938098607,0.47223726977248104,0.21384110630730074
frequency_baseline,validation,7349,1.0504541585318725,0.6331256305462177,0.48115389848959045,0.21656714132598381
rating_diff_neutral_multinom,test,7384,0.8729306779719341,0.514235160959876,0.5983206933911159,0.43919269187523335
rating_diff_neutral_multinom,validation,7349,0.8939701412127339,0.5271239650209865,0.5860661314464553,0.4264205833662739
