model,split,abs_rating_diff_bucket,n,actual_draw_rate,mean_pred_D,draw_top_rate,draw_second_rate,draw_within_5pts_of_top_rate,draw_within_10pts_of_top_rate,mean_draw_margin_to_top,median_draw_margin_to_top,accuracy
glmnet_multinomial_ridge,test,0-25,592,0.3327702702702703,0.2576720495526559,0,0.597972972972973,0,0.04560810810810811,0.22455259151520035,0.22877893355294007,0.3885135135135135
glmnet_multinomial_ridge,test,25-50,530,0.3018867924528302,0.2574926227840432,0,0.5943396226415094,0,0.04150943396226415,0.2295719762611627,0.22594796430356667,0.4490566037735849
glmnet_multinomial_ridge,test,50-100,1076,0.2778810408921933,0.25378635300787095,0,0.5130111524163569,0,0.024163568773234202,0.24932818621068253,0.2268315146688191,0.45724907063197023
glmnet_multinomial_ridge,test,100-150,965,0.277720207253886,0.24546752743476719,0,0.6082901554404145,0.022797927461139896,0.11088082901554404,0.2839479204679598,0.2831568019661944,0.48186528497409326
glmnet_multinomial_ridge,test,150-250,1616,0.25866336633663367,0.23179624946810487,0,0.7085396039603961,0.003094059405940594,0.1051980198019802,0.34103181465747384,0.36398736016761,0.5748762376237624
glmnet_multinomial_ridge,test,250-400,1580,0.20759493670886076,0.19476722443635897,0,0.9620253164556962,0,0,0.4903771520247388,0.5319607876663902,0.6987341772151898
glmnet_multinomial_ridge,test,400+,1203,0.09476309226932668,0.13081766876316875,0,1,0,0,0.6881677749830586,0.733464569396542,0.8786367414796342
lightgbm,test,0-25,592,0.3327702702702703,0.26608350524716173,0,0.6182432432432432,0.0016891891891891893,0.08952702702702703,0.21012350503329083,0.21659695588741498,0.3902027027027027
lightgbm,test,25-50,530,0.3018867924528302,0.2702140401385431,0,0.6509433962264151,0.0037735849056603774,0.07924528301886792,0.20849990099629737,0.20562686221262558,0.4509433962264151
lightgbm,test,50-100,1076,0.2778810408921933,0.2687212082528913,0,0.7732342007434945,0.0055762081784386614,0.07434944237918216,0.22712234816678412,0.19317867894187582,0.4591078066914498
lightgbm,test,100-150,965,0.277720207253886,0.265112511808078,0,0.7253886010362695,0.06010362694300518,0.21450777202072538,0.251830331353911,0.22515536370039418,0.47564766839378236
lightgbm,test,150-250,1616,0.25866336633663367,0.23049451916455277,6.188118811881188e-4,0.8168316831683168,0.02103960396039604,0.12685643564356436,0.3595726698654277,0.3897972732281646,0.5662128712871287
lightgbm,test,250-400,1580,0.20759493670886076,0.17361484741628325,0,0.9569620253164557,0,0,0.5339553652932422,0.5678907865864773,0.6987341772151898
lightgbm,test,400+,1203,0.09476309226932668,0.09422371671462179,0,0.9958437240232751,0,0,0.7714151323391447,0.8148367687004401,0.8786367414796342
