feature_variant,model,split,class,tp,fp,fn,tn,precision,recall,f1
draw_smooth_neutral,glmnet_multinomial_ridge,validation,D,0,1,1668,5379,0,0,0
draw_smooth_neutral,glmnet_multinomial_ridge,validation,A,1104,849,893,4202,0.565284178187404,0.5528292438657987,0.5589873417721518
draw_smooth_neutral,glmnet_multinomial_ridge,test,H,3102,2140,331,1717,0.5917588706600534,0.9035828721235072,0.7151585014409221
draw_smooth_neutral,glmnet_multinomial_ridge,test,D,0,0,1724,5566,0,0,0
draw_smooth_neutral,glmnet_multinomial_ridge,test,A,1232,816,901,4341,0.6015625,0.5775902484763245,0.5893326955273858
draw_smooth_neutral,lightgbm,validation,H,2969,1982,414,1683,0.5996768329630378,0.8776234111735146,0.7125029997600192
draw_smooth_neutral,lightgbm,validation,D,3,2,1665,5378,0.6,0.0017985611510791368,0.0035863717872086074
draw_smooth_neutral,lightgbm,validation,A,1157,935,840,4116,0.5530592734225621,0.5793690535803706,0.5659085350941551
draw_smooth_neutral,lightgbm,test,H,3066,2069,367,1788,0.597078870496592,0.8930964171278765,0.7156862745098039
draw_smooth_neutral,lightgbm,test,D,0,2,1724,5564,0,0,0
draw_smooth_neutral,lightgbm,test,A,1264,889,869,4268,0.5870877844867627,0.5925925925925926,0.5898273448436772
