model,split,n,actual_draw_rate,predicted_draw_rate,mean_pred_D,median_pred_D,draw_recall,draw_precision,avg_true_class_prob,avg_max_pred_prob,accuracy
glmnet_multinomial_ridge,test,7562,0.23591642422639514,0,0.2166955610279994,0.23239162952799866,0,0,0.48509543055039545,0.6068918449740288,0.5970642687119809
lightgbm,test,7562,0.23591642422639514,1.322401481089659e-4,0.21235839770563195,0.2397028587646433,0,0,0.4947496027721997,0.6190007270843115,0.5949484263422375
multinom,test,7562,0.23591642422639514,0,0.21646544619931987,0.23333294640906277,0,0,0.4918879151256358,0.6182389753442364,0.5982544300449617
glmnet_multinomial_ridge,validation,7615,0.23742613263296125,0,0.2244519236058055,0.24157525536490232,0,0,0.47196489506446443,0.5916833775452973,0.5847669074195666
lightgbm,validation,7615,0.23742613263296125,2.62639527248851e-4,0.2234616069229142,0.25048847524213697,5.530973451327434e-4,0.5,0.480128014340134,0.5999428812709409,0.5871306631648063
multinom,validation,7615,0.23742613263296125,0,0.22505726572044754,0.243560909474569,0,0,0.4779674492772811,0.6019750136890092,0.5826657912015758
