model,Feature,Gain,Cover,Frequency
lightgbm,rating_diff,0.803047978508104,0.41100105258087083,0.31202770780856426
lightgbm,home_rating_pre_match,0.05285813885619051,0.09436458025143801,0.12578715365239296
lightgbm,away_rating_pre_match,0.049417049586071814,0.12374614458398447,0.12925062972292192
lightgbm,neutral,0.039405851017756066,0.07334954971290218,0.08595717884130982
lightgbm,rating_age_days_away,0.019444244022483664,0.12311580775594208,0.14326196473551636
lightgbm,rating_age_days_home,0.017142186408596084,0.10347992547843096,0.11634130982367759
lightgbm,is_world_cup_qualifier,0.008438278144178319,0.019334001194659913,0.031171284634760706
lightgbm,is_friendly,0.005000999554264921,0.025593760277150712,0.022984886649874057
lightgbm,is_continental_tournament,0.0028398734923742825,0.009796352913797638,0.01873425692695214
lightgbm,is_continental_qualifier,0.002075376073127545,0.00890221682843345,0.01086272040302267
lightgbm,is_world_cup,3.3002433685274345e-4,0.007316608422389761,0.003620906801007557
