.eda_split,outcome,n,prop
test,H,3791,0.47619645773144076
test,D,1838,0.23087551815098606
test,A,2332,0.2929280241175732
train,H,20339,0.4925174351026734
train,D,9364,0.2267531964354901
train,A,11593,0.2807293684618365
