feature_variant,feature_1,feature_2,correlation,abs_correlation,high_correlation
baseline_safe,home_rating_pre_match,rating_diff,0.4607034347786689,0.4607034347786689,FALSE
baseline_safe,away_rating_pre_match,rating_diff,-0.5165279012422362,0.5165279012422362,FALSE
baseline_safe,rating_age_days_home,rating_diff,-0.06711991675571671,0.06711991675571671,FALSE
baseline_safe,rating_age_days_away,rating_diff,0.04628118358671148,0.04628118358671148,FALSE
baseline_safe,neutral,rating_diff,0.0628992554205437,0.0628992554205437,FALSE
baseline_safe,is_world_cup,rating_diff,0.022530059174898316,0.022530059174898316,FALSE
baseline_safe,is_world_cup_qualifier,rating_diff,0.0010247281562546931,0.0010247281562546931,FALSE
baseline_safe,is_continental_tournament,rating_diff,0.037002789038967046,0.037002789038967046,FALSE
baseline_safe,is_continental_qualifier,rating_diff,0.0149061873029627,0.0149061873029627,FALSE
baseline_safe,is_friendly,rating_diff,-0.060347118744956185,0.060347118744956185,FALSE
baseline_safe,away_rating_pre_match,home_rating_pre_match,0.5220201205742174,0.5220201205742174,FALSE
baseline_safe,home_rating_pre_match,rating_age_days_home,-0.014617866183868674,0.014617866183868674,FALSE
baseline_safe,away_rating_pre_match,rating_age_days_home,0.05039913179069902,0.05039913179069902,FALSE
baseline_safe,rating_age_days_away,rating_age_days_home,0.37581829573310566,0.37581829573310566,FALSE
baseline_safe,neutral,rating_age_days_home,-0.1439939624436921,0.1439939624436921,FALSE
baseline_safe,is_world_cup,rating_age_days_home,-0.07086997900715532,0.07086997900715532,FALSE
baseline_safe,is_world_cup_qualifier,rating_age_days_home,-0.06357997563281248,0.06357997563281248,FALSE
baseline_safe,is_continental_tournament,rating_age_days_home,-0.10742166933651606,0.10742166933651606,FALSE
baseline_safe,is_continental_qualifier,rating_age_days_home,-0.015260784040195879,0.015260784040195879,FALSE
baseline_safe,is_friendly,rating_age_days_home,0.20620027638007074,0.20620027638007074,FALSE
baseline_safe,home_rating_pre_match,rating_age_days_away,0.021664397333560324,0.021664397333560324,FALSE
baseline_safe,away_rating_pre_match,rating_age_days_away,-0.02357509759104929,0.02357509759104929,FALSE
baseline_safe,neutral,rating_age_days_away,-0.14018685047243817,0.14018685047243817,FALSE
baseline_safe,is_world_cup,rating_age_days_away,-0.07050650798463737,0.07050650798463737,FALSE
baseline_safe,is_world_cup_qualifier,rating_age_days_away,-0.05209076831673521,0.05209076831673521,FALSE
baseline_safe,is_continental_tournament,rating_age_days_away,-0.09197679264986139,0.09197679264986139,FALSE
baseline_safe,is_continental_qualifier,rating_age_days_away,0.0024265817819618895,0.0024265817819618895,FALSE
baseline_safe,is_friendly,rating_age_days_away,0.16723377923261984,0.16723377923261984,FALSE
baseline_safe,home_rating_pre_match,neutral,-0.11024955472011086,0.11024955472011086,FALSE
baseline_safe,away_rating_pre_match,neutral,-0.16680930328247623,0.16680930328247623,FALSE
baseline_safe,is_world_cup,neutral,0.22053138071442113,0.22053138071442113,FALSE
baseline_safe,is_world_cup_qualifier,neutral,-0.175861041244944,0.175861041244944,FALSE
baseline_safe,is_continental_tournament,neutral,0.3629190675633049,0.3629190675633049,FALSE
baseline_safe,is_continental_qualifier,neutral,-0.12826741989952872,0.12826741989952872,FALSE
baseline_safe,is_friendly,neutral,-0.27038715733540974,0.27038715733540974,FALSE
baseline_safe,home_rating_pre_match,is_world_cup,0.1859997668232616,0.1859997668232616,FALSE
baseline_safe,away_rating_pre_match,is_world_cup,0.157792574555657,0.157792574555657,FALSE
baseline_safe,is_continental_tournament,is_world_cup,-0.07653673972390887,0.07653673972390887,FALSE
baseline_safe,is_continental_qualifier,is_world_cup,-0.06118905211712382,0.06118905211712382,FALSE
baseline_safe,is_friendly,is_world_cup,-0.12422328725545714,0.12422328725545714,FALSE
baseline_safe,home_rating_pre_match,is_world_cup_qualifier,-0.0029115666215271774,0.0029115666215271774,FALSE
baseline_safe,away_rating_pre_match,is_world_cup_qualifier,-0.003793698539080868,0.003793698539080868,FALSE
baseline_safe,is_world_cup,is_world_cup_qualifier,-0.06816932388029771,0.06816932388029771,FALSE
baseline_safe,is_continental_tournament,is_world_cup_qualifier,-0.22211143308208664,0.22211143308208664,FALSE
baseline_safe,is_continental_qualifier,is_world_cup_qualifier,-0.17757207981022335,0.17757207981022335,FALSE
baseline_safe,is_friendly,is_world_cup_qualifier,-0.3604989244904151,0.3604989244904151,FALSE
baseline_safe,home_rating_pre_match,is_continental_tournament,-0.10590056655412308,0.10590056655412308,FALSE
baseline_safe,away_rating_pre_match,is_continental_tournament,-0.13772728588502228,0.13772728588502228,FALSE
baseline_safe,is_continental_qualifier,is_continental_tournament,-0.19936809228950875,0.19936809228950875,FALSE
baseline_safe,home_rating_pre_match,is_continental_qualifier,-0.1030531634718509,0.1030531634718509,FALSE
baseline_safe,away_rating_pre_match,is_continental_qualifier,-0.11374556965534174,0.11374556965534174,FALSE
baseline_safe,home_rating_pre_match,is_friendly,0.1088378583342628,0.1088378583342628,FALSE
baseline_safe,away_rating_pre_match,is_friendly,0.1629947801357817,0.1629947801357817,FALSE
baseline_safe,is_continental_tournament,is_friendly,-0.404748217877931,0.404748217877931,FALSE
baseline_safe,is_continental_qualifier,is_friendly,-0.3235852466066951,0.3235852466066951,FALSE
