model,split,threshold,n,accuracy,macro_f1,draw_recall,draw_precision,predicted_draw_rate,actual_draw_rate,log_loss
glmnet_multinomial_ridge,test,0,7562,0.5970642687119809,0.4371737357591305,0,0,0,0.23591642422639514,0.8747550527428021
glmnet_multinomial_ridge,test,0.01,7562,0.5970642687119809,0.4371737357591305,0,0,0,0.23591642422639514,0.8747550527428021
glmnet_multinomial_ridge,test,0.02,7562,0.5970642687119809,0.4371737357591305,0,0,0,0.23591642422639514,0.8747550527428021
glmnet_multinomial_ridge,test,0.03,7562,0.5970642687119809,0.4371737357591305,0,0,0,0.23591642422639514,0.8747550527428021
glmnet_multinomial_ridge,test,0.05,7562,0.596932028563872,0.4401192288091267,0.005044843049327354,0.3333333333333333,0.003570483998942079,0.23591642422639514,0.8747550527428021
glmnet_multinomial_ridge,test,0.075,7562,0.596799788415763,0.4513855335809097,0.02466367713004484,0.3548387096774194,0.01639777836551177,0.23591642422639514,0.8747550527428021
glmnet_multinomial_ridge,test,0.1,7562,0.5938905051573657,0.46727758239109946,0.05997757847533632,0.3039772727272727,0.04654853213435599,0.23591642422639514,0.8747550527428021
glmnet_multinomial_ridge,validation,0,7615,0.5847669074195666,0.4248950172168716,0,0,0,0.23742613263296125,0.8958549513263964
glmnet_multinomial_ridge,validation,0.01,7615,0.5847669074195666,0.4248950172168716,0,0,0,0.23742613263296125,0.8958549513263964
glmnet_multinomial_ridge,validation,0.02,7615,0.5846355876559423,0.42478440740649276,0,0,1.313197636244255e-4,0.23742613263296125,0.8958549513263964
glmnet_multinomial_ridge,validation,0.03,7615,0.5846355876559423,0.424827782218814,0,0,2.62639527248851e-4,0.23742613263296125,0.8958549513263964
glmnet_multinomial_ridge,validation,0.05,7615,0.5843729481286933,0.4283450531237008,0.006084070796460177,0.3055555555555556,0.004727511490479317,0.23742613263296125,0.8958549513263964
glmnet_multinomial_ridge,validation,0.075,7615,0.5827971109652003,0.4396754567143229,0.027101769911504425,0.296969696969697,0.021667760998030205,0.23742613263296125,0.8958549513263964
glmnet_multinomial_ridge,validation,0.1,7615,0.5820091923834537,0.4623115919639511,0.07743362831858407,0.3181818181818182,0.05778069599474721,0.23742613263296125,0.8958549513263964
lightgbm,test,0,7562,0.5949484263422375,0.4356705148207604,0,0,1.322401481089659e-4,0.23591642422639514,0.8741575819111137
lightgbm,test,0.01,7562,0.5946839460460196,0.43558820071320603,0,0,6.612007405448294e-4,0.23591642422639514,0.8741575819111137
lightgbm,test,0.02,7562,0.5949484263422375,0.4367230597606331,0.0016816143497757848,0.3,0.0013224014810896587,0.23591642422639514,0.8741575819111137
lightgbm,test,0.03,7562,0.5948161861941286,0.43738523751985414,0.002802690582959641,0.2777777777777778,0.0023803226659613857,0.23591642422639514,0.8741575819111137
lightgbm,test,0.05,7562,0.5937582650092568,0.44468002180491034,0.01569506726457399,0.27722772277227725,0.013356254959005553,0.23591642422639514,0.8741575819111137
lightgbm,test,0.075,7562,0.5913779423432954,0.4638850332868662,0.05605381165919283,0.2824858757062147,0.046813012430573925,0.23591642422639514,0.8741575819111137
lightgbm,test,0.1,7562,0.5907167416027506,0.48068104121557276,0.09585201793721973,0.29131175468483816,0.07762496693996297,0.23591642422639514,0.8741575819111137
lightgbm,validation,0,7615,0.5871306631648063,0.4285777491998591,5.530973451327434e-4,0.5,2.62639527248851e-4,0.23742613263296125,0.8934398018313399
lightgbm,validation,0.01,7615,0.5871306631648063,0.428939993865362,0.0011061946902654867,0.5,5.25279054497702e-4,0.23742613263296125,0.8934398018313399
lightgbm,validation,0.02,7615,0.5871306631648063,0.4302458180193207,0.00331858407079646,0.46153846153846156,0.0017071569271175312,0.23742613263296125,0.8934398018313399
lightgbm,validation,0.03,7615,0.5867367038739331,0.4323588652324252,0.007743362831858407,0.4117647058823529,0.004464871963230466,0.23742613263296125,0.8934398018313399
lightgbm,validation,0.05,7615,0.5829284307288247,0.4444875191346126,0.032079646017699116,0.29441624365482233,0.02586999343401182,0.23742613263296125,0.8934398018313399
lightgbm,validation,0.075,7615,0.5806959947472095,0.4678758786153102,0.08794247787610619,0.310546875,0.06723571897570585,0.23742613263296125,0.8934398018313399
lightgbm,validation,0.1,7615,0.5808273145108339,0.48525424268908235,0.13716814159292035,0.32333767926988266,0.10072225869993434,0.23742613263296125,0.8934398018313399
multinom,test,0,7562,0.5982544300449617,0.4386980261087482,0,0,0,0.23591642422639514,0.8731751803848219
multinom,test,0.01,7562,0.5982544300449617,0.4386980261087482,0,0,0,0.23591642422639514,0.8731751803848219
