config_id,alpha,lambda_min,validation_log_loss,validation_brier_score,validation_accuracy,validation_macro_f1
glmnet_alpha_0,0,0.02229607982552205,0.8944644497975591,0.5272841778724583,0.5837243401759531,0.4243855266770254
glmnet_alpha_0.25,0.25,0.0017507244413617023,0.8933942811083873,0.5266198077168271,0.5834310850439882,0.4248164731227482
glmnet_alpha_0.5,0.5,0.0011571773393306178,0.8933882899020941,0.5266143761722919,0.5835777126099707,0.42460425463319945
glmnet_alpha_0.75,0.75,8.466671342479279e-4,0.893381462877976,0.5266061637748051,0.5837243401759531,0.42480600000067176
glmnet_alpha_1,1,9.212767831301845e-4,0.8933982560403668,0.5266248082822089,0.5829912023460411,0.42408425370884073
