source_match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,total_goals,goal_difference,data_split
2001_05_07_syria_laos_fifa_world_cup_qualification,2001-05-07,Syria,Laos,11,0,FIFA World Cup qualification,Aleppo,Syria,FALSE,11,11,train
2002_07_08_australia_new_caledonia_oceania_nations_cup,2002-07-08,Australia,New Caledonia,11,0,Oceania Nations Cup,Auckland,New Zealand,TRUE,11,11,train
2003_03_02_hong_kong_guam_eaff_championship,2003-03-02,Hong Kong,Guam,11,0,EAFF Championship,So Kon Po,Hong Kong,FALSE,11,11,train
2003_11_19_turkmenistan_afghanistan_fifa_world_cup_qualification,2003-11-19,Turkmenistan,Afghanistan,11,0,FIFA World Cup qualification,Ashgabat,Turkmenistan,FALSE,11,11,train
2004_05_15_fiji_american_samoa_fifa_world_cup_qualification,2004-05-15,Fiji,American Samoa,11,0,FIFA World Cup qualification,Apia,Samoa,TRUE,11,11,train
2004_11_24_haiti_united_states_virgin_islands_cfu_caribbean_cup_qualification,2004-11-24,Haiti,United States Virgin Islands,11,0,CFU Caribbean Cup qualification,Kingston,Jamaica,TRUE,11,11,train
2006_04_01_palestine_guam_afc_challenge_cup,2006-04-01,Palestine,Guam,11,0,AFC Challenge Cup,Dhaka,Bangladesh,TRUE,11,11,train
2007_01_15_singapore_laos_aff_championship,2007-01-15,Singapore,Laos,11,0,AFF Championship,Singapore,Singapore,FALSE,11,11,train
2010_09_22_r_union_saint_pierre_and_miquelon_coupe_de_l_outre_mer,2010-09-22,Réunion,Saint Pierre and Miquelon,11,0,Coupe de l'Outre-Mer,Val-d'Oise,France,TRUE,11,11,train
2011_09_02_netherlands_san_marino_uefa_euro_qualification,2011-09-02,Netherlands,San Marino,11,0,UEFA Euro qualification,Eindhoven,Netherlands,FALSE,11,11,train
2018_09_08_cuba_turks_and_caicos_islands_concacaf_nations_league_qualification,2018-09-08,Cuba,Turks and Caicos Islands,11,0,CONCACAF Nations League qualification,Havana,Cuba,FALSE,11,11,test
2019_07_18_samoa_vanuatu_pacific_games,2019-07-18,Samoa,Vanuatu,0,11,Pacific Games,Apia,Samoa,FALSE,11,-11,test
2019_07_18_new_caledonia_tuvalu_pacific_games,2019-07-18,New Caledonia,Tuvalu,11,0,Pacific Games,Apia,Samoa,TRUE,11,11,test
2021_03_29_cayman_islands_canada_fifa_world_cup_qualification,2021-03-29,Cayman Islands,Canada,0,11,FIFA World Cup qualification,Bradenton,United States,TRUE,11,-11,test
2023_11_23_solomon_islands_american_samoa_pacific_games,2023-11-23,Solomon Islands,American Samoa,11,0,Pacific Games,Honiara,Solomon Islands,FALSE,11,11,test
