dataset,column_position,column,class,typeof,n_missing,n_unique,example_values
football_data_uk_matches,17,home_shots,numeric,double,79199,47,"17, 14, 15, 18, 11"
football_data_uk_matches,18,away_shots,numeric,double,79196,41,"5, 11, 18, 9, 3"
football_data_uk_matches,19,home_shots_on_target,numeric,double,80117,27,"7, 6, 5, 2, 3"
football_data_uk_matches,20,away_shots_on_target,numeric,double,80114,23,"2, 5, 7, 3, 9"
football_data_uk_matches,21,home_corners,numeric,double,79571,27,"7, 4, 5, 6, 3"
football_data_uk_matches,22,away_corners,numeric,double,79571,24,"3, 9, 7, 5, 4"
football_data_uk_matches,23,home_fouls,numeric,double,80336,42,"25, 13, 22, 0, 9"
football_data_uk_matches,24,away_fouls,numeric,double,80336,42,"19, 12, 17, 0, 8"
football_data_uk_matches,25,home_yellow_cards,numeric,double,79015,13,"1, 2, 0, 3, 4"
football_data_uk_matches,26,away_yellow_cards,numeric,double,79014,12,"5, 0, 1, 2, 3"
football_data_uk_matches,27,home_red_cards,numeric,double,79014,5,"0, 1, 2, 3"
football_data_uk_matches,28,away_red_cards,numeric,double,79014,7,"0, 1, 2, 3, 4"
football_data_uk_matches,29,match_result,character,character,0,3,"H, D, A"
football_data_uk_matches,30,result_class,integer,integer,0,3,"1, 0, -1"
football_data_uk_matches,31,home_win,integer,integer,0,2,"1, 0"
football_data_uk_matches,32,draw,integer,integer,0,2,"0, 1"
football_data_uk_matches,33,away_win,integer,integer,0,2,"0, 1"
football_data_uk_matches,34,goal_difference,integer,integer,0,21,"1, 3, 4, 0, -1"
football_data_uk_matches,35,total_goals,integer,integer,0,14,"1, 5, 4, 2, 3"
football_data_uk_matches,36,neutral,logical,logical,177295,1,
international_results,1,source,character,character,0,1,international_results
international_results,2,raw_file,character,character,0,1,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/results.csv
international_results,3,source_match_id,character,character,0,49257,"1872_11_30_scotland_england_friendly, 1873_03_08_england_scotland_friendly, 1874_03_07_scotland_england_friendly, 1875_03_06_england_scotland_friendly, 1876_03_04_scotland_england_friendly"
international_results,4,date,Date,double,0,16434,"1872-11-30, 1873-03-08, 1874-03-07, 1875-03-06, 1876-03-04"
international_results,5,season,character,character,0,155,"1872, 1873, 1874, 1875, 1876"
international_results,6,competition,character,character,0,198,"Friendly, British Home Championship, Évence Coppée Trophy, Muratti Vase, Copa Lipton"
international_results,7,home_team,character,character,0,327,"Scotland, England, Wales, Northern Ireland, United States"
international_results,8,away_team,character,character,0,321,"England, Scotland, Wales, Northern Ireland, Canada"
international_results,9,home_score,integer,integer,0,26,"0, 4, 2, 3, 1"
international_results,10,away_score,integer,integer,0,22,"0, 2, 1, 3, 4"
international_results,11,match_result,character,character,0,3,"D, H, A"
international_results,12,result_class,integer,integer,0,3,"0, 1, -1"
international_results,13,home_win,integer,integer,0,2,"0, 1"
international_results,14,draw,integer,integer,0,2,"1, 0"
international_results,15,away_win,integer,integer,0,2,"0, 1"
international_results,16,goal_difference,integer,integer,0,47,"0, 2, 1, 3, 4"
international_results,17,total_goals,integer,integer,0,26,"0, 6, 3, 4, 2"
international_results,18,neutral,logical,logical,0,2,"FALSE, TRUE"
international_results,19,tournament,character,character,0,198,"Friendly, British Home Championship, Évence Coppée Trophy, Muratti Vase, Copa Lipton"
international_results,20,city,character,character,0,2138,"Glasgow, London, Wrexham, Blackburn, Belfast"
international_results,21,country,character,character,0,269,"Scotland, England, Wales, Ireland, United States"
