source,raw_file,source_shootout_id,source_match_key,date,home_team,away_team,winner,first_shooter,match_found_in_results,notes
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1976_06_20_czechoslovakia_germany_shootout_001,1976_06_20_czechoslovakia_germany,1976-06-20,Czechoslovakia,Germany,Czechoslovakia,Czechoslovakia,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1976_12_22_south_korea_malaysia_shootout_001,1976_12_22_south_korea_malaysia,1976-12-22,South Korea,Malaysia,Malaysia,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1977_01_09_tunisia_morocco_shootout_001,1977_01_09_tunisia_morocco,1977-01-09,Tunisia,Morocco,Tunisia,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1977_03_22_argentina_iran_shootout_001,1977_03_22_argentina_iran,1977-03-22,Argentina,Iran,Argentina,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1977_06_26_zambia_algeria_shootout_001,1977_06_26_zambia_algeria,1977-06-26,Zambia,Algeria,Zambia,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1977_07_27_iran_morocco_shootout_001,1977_07_27_iran_morocco,1977-07-27,Iran,Morocco,Iran,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1977_08_31_paraguay_argentina_shootout_001,1977_08_31_paraguay_argentina,1977-08-31,Paraguay,Argentina,Paraguay,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1979_01_13_guinea_bissau_mali_shootout_001,1979_01_13_guinea_bissau_mali,1979-01-13,Guinea-Bissau,Mali,Mali,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1979_01_14_guinea_bissau_guinea_shootout_001,1979_01_14_guinea_bissau_guinea,1979-01-14,Guinea-Bissau,Guinea,Guinea,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1979_04_29_cameroon_guinea_shootout_001,1979_04_29_cameroon_guinea,1979-04-29,Cameroon,Guinea,Guinea,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1979_05_22_argentina_netherlands_shootout_001,1979_05_22_argentina_netherlands,1979-05-22,Argentina,Netherlands,Argentina,Argentina,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1979_08_31_seychelles_mauritius_shootout_001,1979_08_31_seychelles_mauritius,1979-08-31,Seychelles,Mauritius,Seychelles,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1979_09_29_indonesia_thailand_shootout_001,1979_09_29_indonesia_thailand,1979-09-29,Indonesia,Thailand,Indonesia,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1980_02_16_gambia_mauritania_shootout_001,1980_02_16_gambia_mauritania,1980-02-16,Gambia,Mauritania,Gambia,NA,TRUE,NA
