source,dataset,url,local_path,downloaded_at,notes
StatsBomb Open Data,events_16196,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16196.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16196.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16205,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16205.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16205.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16215,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16215.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16215.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16231,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16231.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16231.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16240,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16240.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16240.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16248,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16248.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16248.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16265,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16265.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16265.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16275,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16275.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16275.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16289,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16289.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16289.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16306,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16306.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16306.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_16317,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/16317.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/16317.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_18235,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/18235.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/18235.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_18236,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/18236.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/18236.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_18237,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/18237.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/18237.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_18240,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/18240.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/18240.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_18241,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/18241.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/18241.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_18242,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/18242.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/18242.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_18243,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/18243.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/18243.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_18244,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/18244.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/18244.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_18245,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/18245.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/18245.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19714,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19714.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19714.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19715,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19715.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19715.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19716,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19716.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19716.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19717,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19717.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19717.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19718,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19718.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19718.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19719,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19719.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19719.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19720,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19720.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19720.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19722,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19722.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19722.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19723,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19723.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19723.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19724,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19724.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19724.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19725,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19725.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19725.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19726,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19726.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19726.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19727,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19727.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19727.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19728,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19728.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19728.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19729,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19729.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19729.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19730,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19730.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19730.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19731,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19731.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19731.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19732,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19732.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19732.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19733,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19733.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19733.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19734,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19734.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19734.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19735,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19735.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19735.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19736,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19736.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19736.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19737,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19737.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19737.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19738,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19738.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19738.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19739,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19739.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19739.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19740,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19740.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19740.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19741,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19741.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19741.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19742,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19742.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19742.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19743,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19743.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19743.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19744,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19744.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19744.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19745,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19745.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19745.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19746,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19746.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19746.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19747,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19747.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19747.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19748,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19748.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19748.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19749,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19749.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19749.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19750,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19750.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19750.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19751,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19751.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19751.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19752,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19752.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19752.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19753,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19753.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19753.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19754,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19754.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19754.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19755,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19755.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19755.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19756,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19756.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19756.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19757,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19757.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19757.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19758,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19758.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19758.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19759,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19759.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19759.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19760,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19760.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19760.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19761,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19761.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19761.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19762,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19762.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19762.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19763,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19763.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19763.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19764,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19764.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19764.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19765,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19765.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19765.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19766,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19766.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19766.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19767,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19767.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19767.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19768,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19768.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19768.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19769,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19769.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19769.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19770,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19770.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19770.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19771,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19771.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19771.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19772,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19772.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19772.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19773,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19773.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19773.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19774,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19774.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19774.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19775,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19775.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19775.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19776,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19776.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19776.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
StatsBomb Open Data,events_19777,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/19777.json,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/events/19777.json,2026-05-28 12:57:09.441319,StatsBomb match event log (raw JSON)
