path,source_guess,dataset_guess,raw_or_processed,file_type,rows,columns,date_min,date_max,n_teams,n_competitions,file_size_bytes,modified_time,notes
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773428.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8961091,2026-05-28 13:07:15.000709,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773457.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9595025,2026-05-28 13:07:15.987561,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773466.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8079387,2026-05-28 13:07:16.615543,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773474.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9414674,2026-05-28 13:07:17.57331,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773477.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9038631,2026-05-28 13:07:18.361736,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773497.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8183548,2026-05-28 13:07:19.133051,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773523.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8619276,2026-05-28 13:07:20.12377,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773526.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9711266,2026-05-28 13:07:20.997513,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773547.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9611041,2026-05-28 13:07:32.611095,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773552.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8564755,2026-05-28 13:07:30.996339,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773565.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8715440,2026-05-28 13:07:32.279033,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773571.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8688413,2026-05-28 13:07:33.879124,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773585.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9619246,2026-05-28 13:07:34.798775,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773586.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9406366,2026-05-28 13:07:35.493356,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773587.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6992753,2026-05-28 13:07:36.307966,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773593.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,10205649,2026-05-28 13:07:37.27845,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773597.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8890439,2026-05-28 13:07:38.007892,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773625.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8777663,2026-05-28 13:07:38.775332,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773631.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8937233,2026-05-28 13:07:39.762342,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773656.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9961522,2026-05-28 13:07:40.559034,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773660.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8897284,2026-05-28 13:07:41.634334,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773661.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,10248879,2026-05-28 13:07:42.606633,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773665.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9761040,2026-05-28 13:07:43.561651,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773672.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,10075436,2026-05-28 13:07:44.300868,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773689.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8949140,2026-05-28 13:07:45.156034,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3773695.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8538864,2026-05-28 13:07:45.872219,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788741.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6860183,2026-05-28 13:07:58.299087,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788742.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7736700,2026-05-28 13:07:59.138199,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788743.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8705247,2026-05-28 13:07:59.986765,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788744.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,5301126,2026-05-28 13:08:00.410758,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788745.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,5554442,2026-05-28 13:08:01.190972,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788746.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8334960,2026-05-28 13:08:02.101614,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788747.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6377121,2026-05-28 13:08:13.717517,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788748.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6358110,2026-05-28 13:08:03.321733,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788749.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8411387,2026-05-28 13:08:04.437972,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788750.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7922635,2026-05-28 13:08:05.646865,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788751.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7453167,2026-05-28 13:08:06.763799,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788752.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6254152,2026-05-28 13:08:07.78622,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788753.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8781605,2026-05-28 13:08:08.909172,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788754.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7000961,2026-05-28 13:08:10.11317,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788755.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,5600574,2026-05-28 13:08:10.95523,NA
