year,matches,home_win_rate,draw_rate,away_win_rate,avg_goal_difference
1908,30,0.4666666666666667,0.06666666666666667,0.4666666666666667,-1.0333333333333334
1909,22,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.4090909090909091
1910,30,0.6,0.06666666666666667,0.3333333333333333,0.8
1911,35,0.5142857142857142,0.14285714285714285,0.34285714285714286,0.7428571428571429
1912,53,0.49056603773584906,0.16981132075471697,0.33962264150943394,0.8301886792452831
1913,38,0.5526315789473685,0.13157894736842105,0.3157894736842105,0.6578947368421053
1914,33,0.45454545454545453,0.30303030303030304,0.24242424242424243,0.6363636363636364
1916,29,0.4482758620689655,0.2413793103448276,0.3103448275862069,1.103448275862069
1917,27,0.5185185185185185,0.1111111111111111,0.37037037037037035,0
1919,50,0.68,0.12,0.2,1.7
1920,54,0.6481481481481481,0.14814814814814814,0.2037037037037037,1.1296296296296295
1921,60,0.5,0.23333333333333334,0.26666666666666666,0.55
1922,73,0.4520547945205479,0.2602739726027397,0.2876712328767123,0.5753424657534246
1923,94,0.46808510638297873,0.19148936170212766,0.3404255319148936,0.09574468085106383
1924,110,0.5909090909090909,0.13636363636363635,0.2727272727272727,1.1454545454545455
1925,87,0.45977011494252873,0.1724137931034483,0.367816091954023,0.45977011494252873
1926,88,0.5454545454545454,0.14772727272727273,0.3068181818181818,0.8068181818181818
1927,82,0.5121951219512195,0.17073170731707318,0.3170731707317073,0.6219512195121951
1928,99,0.5555555555555556,0.1919191919191919,0.25252525252525254,1.0707070707070707
1929,84,0.5833333333333334,0.16666666666666666,0.25,1.2261904761904763
1930,115,0.5739130434782609,0.1826086956521739,0.24347826086956523,1.1478260869565218
1931,100,0.6,0.15,0.25,0.81
1932,93,0.5591397849462365,0.08602150537634409,0.3548387096774194,0.5698924731182796
1933,95,0.47368421052631576,0.2,0.3263157894736842,0.7578947368421053
1934,111,0.4864864864864865,0.16216216216216217,0.35135135135135137,0.24324324324324326
1935,119,0.5294117647058824,0.18487394957983194,0.2857142857142857,0.773109243697479
1936,85,0.47058823529411764,0.15294117647058825,0.3764705882352941,0.23529411764705882
1937,121,0.49586776859504134,0.18181818181818182,0.32231404958677684,0.48760330578512395
1938,152,0.5328947368421053,0.14473684210526316,0.3223684210526316,0.5723684210526315
1939,88,0.5113636363636364,0.13636363636363635,0.3522727272727273,0.42045454545454547
1940,57,0.5614035087719298,0.24561403508771928,0.19298245614035087,1.5087719298245614
1941,52,0.5,0.19230769230769232,0.3076923076923077,0.9230769230769231
